mask_of_subjects_face,order_id,line_item_id,mask_quality,subject_class,number_of_heads
/refined_masks/mask_images3/mask_images2/143922-20305-1539888581-47-jack.npy,20305,143922,good,dog,1
/refined_masks/mask_images3/mask_images2/143922-20306-1539888595-85-jack.npy,20306,143922,good,dog,1
/refined_masks/mask_images3/mask_images2/143924-20310-1539888896-17-img-2818.npy,20310,143924,bad,dog,1
/refined_masks/mask_images3/mask_images2/143926-20312-1539889106-6-ziggy.npy,20312,143926,good,dog,1
/refined_masks/mask_images3/mask_images2/143928-20314-1539889491-46-fullsizerender.npy,20314,143928,good,cat,1
/refined_masks/mask_images3/mask_images2/143928-20315-1539889538-71-fullsizerender.npy,20315,143928,good,cat,1
/refined_masks/mask_images3/mask_images2/143931-20319-1539889747-96-fb-img-1539889534146.npy,20319,143931,bad,human,2
/refined_masks/mask_images3/mask_images2/143932-20320-1539889862-20-175013e4-d126-411c-9405-8e98395879e7.npy,20320,143932,good,dog,1
/refined_masks/mask_images3/mask_images2/143933-20321-1539889796-64-3a697b3d-fd14-41c6-b721-5f6831f2c322.npy,20321,143933,bad,dog,1
/refined_masks/mask_images3/mask_images2/143933-20322-1539889910-47-7ab4d92c-e0e3-4064-bea0-bca60794f301.npy,20322,143933,bad,dog,1
/refined_masks/mask_images3/mask_images2/143935-20326-1539889777-51-screenshot-20181018-115600.npy,20326,143935,bad,dog,1
/refined_masks/mask_images3/mask_images2/143938-20328-1539890291-4-img-0516-1.npy,20328,143938,good,cat,1
/refined_masks/mask_images3/mask_images2/143939-20329-1539889899-52-20181018-113700.npy,20329,143939,good,dog,1
/refined_masks/mask_images3/mask_images2/143942-20333-1539888461-17-9b397a4f-1383-4de4-861d-833f9db88915.npy,20333,143942,good,dog,1
/refined_masks/mask_images3/mask_images2/143942-20334-1539889486-59-6c14187f-e790-484f-820f-98693eb1dbbf.npy,20334,143942,good,dog,1
/refined_masks/mask_images3/mask_images2/143942-20335-1539889678-67-f21c74d8-f75b-4ae5-bd47-0b767244cbf2.npy,20335,143942,good,dog,1
/refined_masks/mask_images3/mask_images2/143942-20336-1539889819-70-c75617e4-065f-4f6f-ae81-e7b7c3f5145b.npy,20336,143942,good,dog,1
/refined_masks/mask_images3/mask_images2/143943-20338-1539890095-67-8a2c4f4f-a7f5-4fc7-8d94-fbaee9299112.npy,20338,143943,good,dog,1
/refined_masks/mask_images3/mask_images2/143943-20339-1539890132-60-46809bcc-1fd1-4c6f-8903-bfb3de7c2f5d.npy,20339,143943,bad,dog,1
/refined_masks/mask_images3/mask_images2/143947-20344-1539889463-62-cf00b889-16c3-4991-8c38-bf2069865820.npy,20344,143947,bad,human,1
/refined_masks/mask_images3/mask_images2/143947-20346-1539889526-86-2f3e70bd-eb55-4286-9179-c5037893ac01.npy,20346,143947,bad,human,1
/refined_masks/mask_images3/mask_images2/143947-20348-1539890259-80-f561adda-91cf-4020-a060-5f1d6f7722e0.npy,20348,143947,good,human,1
/refined_masks/mask_images3/mask_images2/143947-20350-1539890288-1-657d0aa5-9ac6-49c9-8263-e25cb0e78b4d.npy,20350,143947,good,human,1
/refined_masks/mask_images3/mask_images2/143947-20351-1539890369-87-97d685e7-de2d-438b-9785-d6cf62b9d8e1.npy,20351,143947,good,human,1
/refined_masks/mask_images3/mask_images2/143947-20353-1539890464-28-de988e20-98b9-4c58-b273-7bd020b0368f.npy,20353,143947,good,human,1
/refined_masks/mask_images3/mask_images2/143947-20354-1539890426-83-0c45ead3-ecb0-457b-ac19-a0840ec72957.npy,20354,143947,good,human,1
/refined_masks/mask_images3/mask_images2/143948-20355-1539890839-13-halloween.npy,20355,143948,good,human,1
/refined_masks/mask_images3/mask_images2/143949-20356-1539890516-75-9c73bd6c-6b96-4c76-ba78-b8a147920954.npy,20356,143949,bad,dog,1
/refined_masks/mask_images3/mask_images2/143949-20357-1539890553-96-866f833e-8713-416f-8608-582bc44ed56d.npy,20357,143949,bad,dog,1
/refined_masks/mask_images3/mask_images2/143950-20359-1539890715-30-a3189d79-58e4-420f-b546-0ddf33ae8dfe.npy,20359,143950,good,dog,1
/refined_masks/mask_images3/mask_images2/143952-20362-1539891163-44-ollie.npy,20362,143952,good,dog,1
/refined_masks/mask_images3/mask_images2/143953-20363-1539891896-5-0bdba9c9-356a-46db-a228-c56192adc1b8.npy,20363,143953,good,dog,1
/refined_masks/mask_images3/mask_images2/143954-20364-1539891585-26-743da19e-0903-4a05-8158-2ecdb8902f28.npy,20364,143954,good,dog,1
/refined_masks/mask_images3/mask_images2/143955-20366-1539892030-84-ella.npy,20366,143955,good,dog,1
/refined_masks/mask_images3/mask_images2/143956-20367-1539892052-45-6af9aa35-6b4a-40b6-8bcf-dc27195a05e1.npy,20367,143956,good,dog,1
/refined_masks/mask_images3/mask_images2/143957-20368-1539892304-93-james-dean-logo.npy,20368,143957,good,human,1
/refined_masks/mask_images3/mask_images2/143958-20370-1539892060-85-43678685-10100380731165227-7385236586624974848-o.npy,20370,143958,good,dog,1
/refined_masks/mask_images3/mask_images2/143959-20369-1539892562-32-bda615c0-cd0d-4ec2-b5cd-74437e27c812.npy,20369,143959,bad,dog,1
/refined_masks/mask_images3/mask_images2/143962-20373-1539892672-62-burt.npy,20373,143962,good,dog,1
/refined_masks/mask_images3/mask_images2/143963-20375-1539893218-72-img-2065.npy,20375,143963,bad,human,1
/refined_masks/mask_images3/mask_images2/143964-20376-1539892911-50-mac.npy,20376,143964,okay,dog,1
/refined_masks/mask_images3/mask_images2/143964-20377-1539892950-32-shiloh.npy,20377,143964,okay,dog,1
/refined_masks/mask_images3/mask_images2/143964-20378-1539892975-75-shiloh.npy,20378,143964,okay,dog,1
/refined_masks/mask_images3/mask_images2/143964-20379-1539892996-76-shiloh.npy,20379,143964,okay,dog,1
/refined_masks/mask_images3/mask_images2/143964-20380-1539893190-51-chilkoot.npy,20380,143964,okay,cat,1
/refined_masks/mask_images3/mask_images2/143967-20384-1539892671-53-a0aed89b-04c5-4b4a-8339-61f77f91d60a.npy,20384,143967,okay,dog,1
/refined_masks/mask_images3/mask_images2/143967-20385-1539893072-65-89ec2414-198c-4c4c-a2af-7868da055289.npy,20385,143967,good,dog,1
/refined_masks/mask_images3/mask_images2/143970-20387-1539894148-46-tank1.npy,20387,143970,bad,dog,1
/refined_masks/mask_images3/mask_images2/143971-20388-1539894024-45-murphy.npy,20388,143971,good,dog,1
/refined_masks/mask_images3/mask_images2/143971-20390-1539894052-39-moose.npy,20390,143971,good,dog,1
/refined_masks/mask_images3/mask_images2/143972-20392-1539894099-32-picture4.npy,20392,143972,good,human,1
/refined_masks/mask_images3/mask_images2/143976-20396-1539894453-49-img-7256.npy,20396,143976,bad,other,1
/refined_masks/mask_images3/mask_images2/143978-20400-1539875085-1-img-4409.npy,20400,143978,good,dog,1
/refined_masks/mask_images3/mask_images2/143980-20402-1539894674-57-img-7554.npy,20402,143980,good,dog,1
/refined_masks/mask_images3/mask_images2/143981-20403-1539895391-98-7cff71b6-4e7e-4d3c-9020-50ffadef37ad.npy,20403,143981,bad,dog,1
/refined_masks/mask_images3/mask_images2/143982-20404-1539895748-56-sally4.npy,20404,143982,bad,dog,1
/refined_masks/mask_images3/mask_images2/143983-20405-1539895792-93-d5ulsqxgqvkgkgddrasmra-thumb-29c4.npy,20405,143983,good,human,1
/refined_masks/mask_images3/mask_images2/143986-20412-1539895838-95-fb-img-1539895085748.npy,20412,143986,good,dog,1
/refined_masks/mask_images3/mask_images2/143989-20409-1539896238-34-majira.npy,20409,143989,good,other,1
/refined_masks/mask_images3/mask_images2/143991-20414-1539896151-48-img-7849.npy,20414,143991,good,dog,1
/refined_masks/mask_images3/mask_images2/143992-20415-1539895707-40-snapchat-688471989.npy,20415,143992,good,dog,1
/refined_masks/mask_images3/mask_images2/143993-20417-1539896823-78-0a935b8a-3b30-41dc-ac29-781ccf819d9d.npy,20417,143993,good,dog,1
/refined_masks/mask_images3/mask_images2/143994-20416-1539896819-9-20181018-170640.npy,20416,143994,good,human,1
/refined_masks/mask_images3/mask_images2/143995-20418-1539896919-6-1b84b28d-3fbb-4876-bd7e-d2eee9d5a082.npy,20418,143995,good,dog,1
/refined_masks/mask_images3/mask_images2/143996-20419-1539897130-88-img-6787.npy,20419,143996,bad,dog,1
/refined_masks/mask_images3/mask_images2/143996-20420-1539897216-17-img-7179.npy,20420,143996,bad,dog,1
/refined_masks/mask_images3/mask_images2/143998-20422-1539897256-70-dsc-1713.npy,20422,143998,good,dog,1
/refined_masks/mask_images3/mask_images2/144002-20426-1539897830-70-20181018-170221.npy,20426,144002,bad,dog,1
/refined_masks/mask_images3/mask_images2/144004-20429-1539897920-83-4ddf111a-ae57-4973-bb0e-cc9951016513.npy,20429,144004,good,human,1
/refined_masks/mask_images3/mask_images2/144005-20427-1539897914-55-beauty-pic.npy,20427,144005,bad,dog,1
/refined_masks/mask_images3/mask_images2/144005-20428-1539897942-75-beauty-pic.npy,20428,144005,bad,dog,1
/refined_masks/mask_images3/mask_images2/144007-20431-1539896926-43-socks3.npy,20431,144007,good,human,1
/refined_masks/mask_images3/mask_images2/144007-20432-1539898184-63-alecsocks.npy,20432,144007,good,human,1
/refined_masks/mask_images3/mask_images2/144010-20434-1539898666-3-20181018-143534.npy,20434,144010,good,human,1
/refined_masks/mask_images3/mask_images2/144014-20440-1539898795-4-harveyboy.npy,20440,144014,good,human,1
/refined_masks/mask_images3/mask_images2/144015-20438-1539898938-0-maxsockface.npy,20438,144015,good,human,1
/refined_masks/mask_images3/mask_images2/144018-20441-1539897501-2-img-5268.npy,20441,144018,good,dog,1
/refined_masks/mask_images3/mask_images2/144020-20443-1539900033-31-444d8dae-734a-4a06-9a77-1c05ac68eec8.npy,20443,144020,bad,dog,1
/refined_masks/mask_images3/mask_images2/144021-20444-1539899980-77-cee64128-b816-4dfa-b86d-4efced5d21d3.npy,20444,144021,bad,human,1
/refined_masks/mask_images3/mask_images2/144022-20446-1539900352-82-709eac72-edcd-4653-91fc-e500f8bfc4db.npy,20446,144022,good,human,1
/refined_masks/mask_images3/mask_images2/144023-20447-1539899101-64-img-2370.npy,20447,144023,good,dog,1
/refined_masks/mask_images3/mask_images2/144024-20450-1539900834-72-35824627-10160779229185722-2542218793501851648-n.npy,20450,144024,good,human,1
/refined_masks/mask_images3/mask_images2/144033-20454-1539901224-44-bbc36de3-91f2-4c8a-82a9-69f378d98f9b.npy,20454,144033,bad,dog,1
/refined_masks/mask_images3/mask_images2/144034-20457-1539901587-22-small-kitty.npy,20457,144034,good,cat,1
/refined_masks/mask_images3/mask_images2/144037-20460-1539900816-24-img-6868.npy,20460,144037,good,dog,2
/refined_masks/mask_images3/mask_images2/144037-20461-1539901493-44-img-4431.npy,20461,144037,bad,dog,1
/refined_masks/mask_images3/mask_images2/144039-20462-1539901595-75-snapchat-1587983449.npy,20462,144039,good,human,1
/refined_masks/mask_images3/mask_images2/144039-20463-1539901617-40-snapchat-2080076826.npy,20463,144039,good,human,1
/refined_masks/mask_images3/mask_images2/144041-20465-1539899412-64-e9b6a030-c484-4251-8498-ae47e554b73d.npy,20465,144041,good,cat,1
/refined_masks/mask_images3/mask_images2/144043-20467-1539902010-17-e5f56f08-34bf-406c-bb68-d12db070351e.npy,20467,144043,good,human,1
/refined_masks/mask_images3/mask_images2/144044-20468-1539902461-10-d1ae46d3-76fa-4c40-93b5-d07b28d050c8.npy,20468,144044,bad,dog,1
/refined_masks/mask_images3/mask_images2/144047-20472-1539902527-1-957344a7-802f-43ea-9f4b-ba0ec9f65059.npy,20472,144047,bad,dog,1
/refined_masks/mask_images3/mask_images2/144048-20473-1539902506-43-45c48153-9447-420a-b117-236b5c57b1ee.npy,20473,144048,okay,human,1
/refined_masks/mask_images3/mask_images2/144050-20475-1539903170-25-img-5060.npy,20475,144050,bad,human,1
/refined_masks/mask_images3/mask_images2/144051-20476-1539903397-73-fa79d118-0163-45bc-8f56-8fab0637809f.npy,20476,144051,bad,dog,1
/refined_masks/mask_images3/mask_images2/144052-20477-1539903662-66-100-6762.npy,20477,144052,good,dog,1
/refined_masks/mask_images3/mask_images2/144055-20480-1539903845-66-9c51e103-7b78-47bd-a2d9-3b5e17e94a96.npy,20480,144055,good,dog,1
/refined_masks/mask_images3/mask_images2/144057-20483-1539904003-3-image1.npy,20483,144057,good,cat,1
/refined_masks/mask_images3/mask_images2/144061-20487-1539904430-9-271326aa-cb7b-4785-a753-5b9188b9e98a.npy,20487,144061,bad,dog,1
/refined_masks/mask_images3/mask_images2/144061-20488-1539904519-12-a260b6c3-955d-476b-ba6a-e65be3ec0289.npy,20488,144061,bad,dog,1
/refined_masks/mask_images3/mask_images2/144062-20489-1539904652-23-20211fa2-ebf7-4577-bdb9-ca645884a08f.npy,20489,144062,good,dog,1
/refined_masks/mask_images3/mask_images2/144065-20493-1539904518-71-yorgie.npy,20493,144065,good,dog,1
/refined_masks/mask_images3/mask_images2/144066-20492-1539905073-42-ziggy1.npy,20492,144066,good,dog,1
/refined_masks/mask_images3/mask_images2/144067-20494-1539905481-35-12011233-10208209425138360-6687615481478182030-n.npy,20494,144067,okay,human,1
/refined_masks/mask_images3/mask_images2/144068-20495-1539905510-33-snapchat-1274852268.npy,20495,144068,good,dog,1
/refined_masks/mask_images3/mask_images2/144070-20496-1539905573-38-44297729-2510939945613111-566223405695631360-n.npy,20496,144070,good,cat,1
/refined_masks/mask_images3/mask_images2/144071-20498-1539905414-70-8222f22a-cda9-42d1-8a6c-a92daee28123.npy,20498,144071,bad,other,1
/refined_masks/mask_images3/mask_images2/144073-20500-1539906068-19-a0d012de-b884-42bd-b495-7d3d14e38457.npy,20500,144073,good,human,1
/refined_masks/mask_images3/mask_images2/144075-20503-1539906372-28-img-3424.npy,20503,144075,good,dog,1
/refined_masks/mask_images3/mask_images2/144077-20505-1539906641-67-hawk.npy,20505,144077,bad,dog,1
/refined_masks/mask_images3/mask_images2/144079-20507-1539905999-27-4bfa909e-bbe1-4e04-b799-00e8171ca4e7.npy,20507,144079,good,dog,1
/refined_masks/mask_images3/mask_images2/144079-20508-1539906249-42-ebe381e1-f5fc-486d-8ae5-9313827cfaca.npy,20508,144079,good,dog,1
/refined_masks/mask_images3/mask_images2/144082-20511-1539907216-83-68209-1762651027074-3401464-n.npy,20511,144082,good,dog,1
/refined_masks/mask_images3/mask_images2/144084-20512-1539907138-44-image1-1.npy,20512,144084,good,cat,1
/refined_masks/mask_images3/mask_images2/144086-20515-1539907152-61-20181012-125300.npy,20515,144086,bad,dog,1
/refined_masks/mask_images3/mask_images2/144087-20516-1539907288-12-img-0807.npy,20516,144087,good,dog,1
/refined_masks/mask_images3/mask_images2/144087-20517-1539907366-98-img-1479.npy,20517,144087,good,dog,1
/refined_masks/mask_images3/mask_images2/144088-20520-1539907550-57-mozzie.npy,20520,144088,good,dog,1
/refined_masks/mask_images3/mask_images2/144091-20525-1539908202-47-09475ba5-9193-4bf1-bd37-3dadebfdb914.npy,20525,144091,good,dog,1
/refined_masks/mask_images3/mask_images2/144092-20523-1539907764-5-img-0695.npy,20523,144092,good,dog,2
/refined_masks/mask_images3/mask_images2/144092-20524-1539907892-41-img-2003-2.npy,20524,144092,good,dog,1
/refined_masks/mask_images3/mask_images2/144093-20526-1539738925-84-180b9a12-ecc8-4739-8868-b88e89fdee3d.npy,20526,144093,good,dog,1
/refined_masks/mask_images3/mask_images2/144093-20528-1539738978-88-54563de5-3a36-431f-8833-a15eb3270be7.npy,20528,144093,good,human,1
/refined_masks/mask_images3/mask_images2/144095-20530-1539908503-6-img-1006.npy,20530,144095,bad,human,1
/refined_masks/mask_images3/mask_images2/144096-20531-1539908726-92-cr2.npy,20531,144096,okay,cat,1
/refined_masks/mask_images3/mask_images2/144097-20534-1539908836-72-3ea8b076-3665-4e37-bac7-a6ab181d9bcc.npy,20534,144097,good,human,1
/refined_masks/mask_images3/mask_images2/144098-20533-1539909259-19-18571152-05dd-4662-ac30-bde4c4f1f383.npy,20533,144098,good,human,1
/refined_masks/mask_images3/mask_images2/144099-20535-1539909363-23-fb-img-1539549222261.npy,20535,144099,good,dog,1
/refined_masks/mask_images3/mask_images2/144100-20536-1539909695-45-image-8.npy,20536,144100,good,dog,1
/refined_masks/mask_images3/mask_images2/144101-20537-1539909301-37-file-16.npy,20537,144101,good,dog,1
/refined_masks/mask_images3/mask_images2/144101-20538-1539909737-70-file-18.npy,20538,144101,good,human,1
/refined_masks/mask_images3/mask_images2/144104-20541-1539910085-61-img-1167.npy,20541,144104,good,human,1
/refined_masks/mask_images3/mask_images2/144104-20542-1539910215-41-img-1538.npy,20542,144104,good,human,1
/refined_masks/mask_images3/mask_images2/144108-20546-1539910377-52-72490a0c-59b8-43be-880e-34a9a708fd9d.npy,20546,144108,good,dog,1
/refined_masks/mask_images3/mask_images2/144109-20548-1539910746-14-43e30a1f-a11b-4140-a2d8-c9cac35e603d.npy,20548,144109,good,human,1
/refined_masks/mask_images3/mask_images2/144110-20549-1539910932-53-44300370-1825491780905832-4200520527074295808-n.npy,20549,144110,good,dog,1
/refined_masks/mask_images3/mask_images2/144112-20551-1539910402-85-1de2e46e-39d8-4770-a9e1-d3e626a9a87e.npy,20551,144112,good,dog,1
/refined_masks/mask_images3/mask_images2/144112-20552-1539910561-80-94b9f81a-0ef5-4203-8c26-0e1a1f2b1e1c.npy,20552,144112,good,human,1
/refined_masks/mask_images3/mask_images2/144114-20554-1539911023-44-img-20181014-220048-583.npy,20554,144114,bad,human,1
/refined_masks/mask_images3/mask_images2/144115-20555-1539911279-84-33799eb8-71cc-4d01-a406-e1529b9b508c.npy,20555,144115,good,cat,1
/refined_masks/mask_images3/mask_images2/144116-20557-1539911347-15-obi.npy,20557,144116,good,dog,1
/refined_masks/mask_images3/mask_images2/144117-20558-1539911046-86-img-0911.npy,20558,144117,good,dog,1
/refined_masks/mask_images3/mask_images2/144119-20559-1539911318-15-b65682b1-1e4b-4185-9ada-532685542fbf.npy,20559,144119,bad,human,1
/refined_masks/mask_images3/mask_images2/144120-20562-1539911756-18-86ff871e-d6b0-4193-b0e6-62ed3d1240a6.npy,20562,144120,bad,human,1
/refined_masks/mask_images3/mask_images2/144122-20563-1539911736-42-20795a14-2dce-43b5-8679-2c9e76a13baa.npy,20563,144122,okay,cat,1
/refined_masks/mask_images3/mask_images2/144124-20566-1539912391-26-4b01342a-1c73-4528-951e-c53d32a29277.npy,20566,144124,good,dog,1
/refined_masks/mask_images3/mask_images2/144127-20569-1539899799-78-7663ffb2-23fb-47d0-8388-b71810ea9fa1.npy,20569,144127,bad,dog,1
/refined_masks/mask_images3/mask_images2/144127-20570-1539912808-47-f65329e3-6f03-41c8-badc-4c52353322c4.npy,20570,144127,bad,dog,1
/refined_masks/mask_images3/mask_images2/144131-20575-1539913669-50-269f58e1-7062-4e0a-9256-97adcfab8229.npy,20575,144131,bad,dog,1
/refined_masks/mask_images3/mask_images2/144131-20576-1539913715-49-ba8c4942-40dd-45ad-a373-214e39a99654.npy,20576,144131,bad,dog,1
/refined_masks/mask_images3/mask_images2/144133-20578-1539914218-64-yoshi.npy,20578,144133,bad,dog,1
/refined_masks/mask_images3/mask_images2/144133-20579-1539914317-72-fergus.npy,20579,144133,good,cat,1
/refined_masks/mask_images3/mask_images2/144135-20582-1539914894-31-1ab90c61-ffbb-4883-a88d-5ebf03db3e74.npy,20582,144135,good,dog,1
/refined_masks/mask_images3/mask_images2/144139-20591-1539915274-77-picsart-10-18-080334.npy,20591,144139,good,human,1
/refined_masks/mask_images3/mask_images2/144145-20597-1539915516-93-f24b8a38-b9b0-48d1-911d-ccf20b282214.npy,20597,144145,good,dog,1
/refined_masks/mask_images3/mask_images2/144145-20598-1539915548-47-0ec7c987-1e5c-4808-826c-552478551654.npy,20598,144145,good,dog,1
/refined_masks/mask_images3/mask_images2/144146-20599-1539916756-34-292944b6-aa0e-4491-893c-d74986dd6189.npy,20599,144146,bad,dog,1
/refined_masks/mask_images3/mask_images2/144147-20600-1539916858-83-9385b1d2-bb3b-4592-960f-58bfe9bff258.npy,20600,144147,bad,dog,1
/refined_masks/mask_images3/mask_images2/144148-20601-1539916796-31-8b543aa4-132f-475a-bb58-1993f6ad7eb4.npy,20601,144148,good,dog,1
/refined_masks/mask_images3/mask_images2/144149-20603-1539917174-54-beth-011.npy,20603,144149,good,human,1
/refined_masks/mask_images3/mask_images2/144155-20610-1539837180-77-screen-shot-2018-10-18-at-123238-am.npy,20610,144155,good,dog,1
/refined_masks/mask_images3/mask_images2/144157-20614-1539918552-28-9bb09488-83f8-4060-84ae-4d06a473fd21.npy,20614,144157,good,human,1
/refined_masks/mask_images3/mask_images2/144157-20615-1539918600-20-f68c3cc2-5f7f-434b-a7d0-a9facd6462ee.npy,20615,144157,good,human,1
/refined_masks/mask_images3/mask_images2/144158-20616-1539918538-65-img-2886.npy,20616,144158,good,cat,1
/refined_masks/mask_images3/mask_images2/144159-20617-1539918655-43-20181018-150721-2.npy,20617,144159,good,cat,1
/refined_masks/mask_images3/mask_images2/144159-20618-1539918752-48-20181018-150545-2.npy,20618,144159,good,cat,1
/refined_masks/mask_images3/mask_images2/144160-20619-1539919135-74-coco1.npy,20619,144160,good,dog,1
/refined_masks/mask_images3/mask_images2/144163-20622-1539919863-15-img-20181019-wa0002.npy,20622,144163,bad,dog,1
/refined_masks/mask_images3/mask_images2/144163-20623-1539919910-0-img-20181019-wa0007.npy,20623,144163,bad,dog,1
/refined_masks/mask_images3/mask_images2/144163-20624-1539920032-20-img-20181019-wa0007.npy,20624,144163,bad,dog,1
/refined_masks/mask_images3/mask_images2/144163-20626-1539920154-69-img-20181019-wa0001.npy,20626,144163,good,human,1
/refined_masks/mask_images3/mask_images2/144163-20627-1539920219-93-img-20181019-wa0001.npy,20627,144163,good,human,1
/refined_masks/mask_images3/mask_images2/144164-20630-1539920990-6-a3682dcf-8759-4fce-8a69-a489b85ffab8.npy,20630,144164,good,dog,1
/refined_masks/mask_images3/mask_images2/144170-20635-1539921775-95-img-3002.npy,20635,144170,okay,dog,1
/refined_masks/mask_images3/mask_images2/144170-20636-1539921836-76-img-2106.npy,20636,144170,good,dog,1
/refined_masks/mask_images3/mask_images2/144171-20637-1539923421-34-12e55415-8e00-43ef-b22f-b99982177d80.npy,20637,144171,bad,dog,1
/refined_masks/mask_images3/mask_images2/144172-20638-1539923700-84-img-1652.npy,20638,144172,okay,dog,1
/refined_masks/mask_images3/mask_images2/144172-20639-1539923756-18-img-1652.npy,20639,144172,okay,dog,1
/refined_masks/mask_images3/mask_images2/144173-20640-1539923850-62-53275957-928d-4c5b-87b7-d405edd69d86.npy,20640,144173,good,dog,1
/refined_masks/mask_images3/mask_images2/144174-20641-1539895294-94-e570eca6-5fb7-4f0d-88d0-e29b7e53c1cf.npy,20641,144174,good,dog,1
/refined_masks/mask_images3/mask_images2/144174-20642-1539895344-25-a3da0bc0-58ba-4742-99f5-947dc46a246f.npy,20642,144174,good,dog,1
/refined_masks/mask_images3/mask_images2/144176-20644-1539924164-12-ruby2.npy,20644,144176,good,dog,1
/refined_masks/mask_images3/mask_images2/144177-20645-1539924017-80-d3a40573-ef56-4fec-b2d0-61c3f9d6d758.npy,20645,144177,good,dog,1
/refined_masks/mask_images3/mask_images2/144178-20646-1539924031-2-d51cf737-4ec8-467f-be78-b4de3c4c57e5.npy,20646,144178,good,human,1
/refined_masks/mask_images3/mask_images2/144181-20650-1539925125-82-smartselect-20181018-235711-instagram.npy,20650,144181,good,human,1
/refined_masks/mask_images3/mask_images2/144182-20651-1539925427-88-822f3481-589e-4335-bec4-42470090df03.npy,20651,144182,bad,cat,1
/refined_masks/mask_images3/mask_images2/144186-20657-1539926473-0-16a57616-966d-4b81-b04b-fc61502a74e2.npy,20657,144186,bad,dog,1
/refined_masks/mask_images3/mask_images2/144188-20661-1539926858-74-dfc24802-fae4-4dd8-944d-b627444907e3.npy,20661,144188,good,dog,1
/refined_masks/mask_images3/mask_images2/144189-20662-1539927157-43-image.npy,20662,144189,good,dog,1
/refined_masks/mask_images3/mask_images2/144190-20663-1539928875-25-img-4054.npy,20663,144190,good,dog,1
/refined_masks/mask_images3/mask_images2/144190-20664-1539928940-92-img-1551.npy,20664,144190,good,dog,1
/refined_masks/mask_images3/mask_images2/144193-20666-1539929363-89-c0477804-77a6-4dc5-9104-cc5b5363d74b.npy,20666,144193,bad,dog,1
/refined_masks/mask_images3/mask_images2/144195-20668-1539926833-62-img-20151229-160945722.npy,20668,144195,good,cat,1
/refined_masks/mask_images3/mask_images2/144198-20674-1539931594-95-cameron-jones-wt2-3167.npy,20674,144198,good,human,1
/refined_masks/mask_images3/mask_images2/144198-20675-1539931640-63-cameron-jones-wt2-3167.npy,20675,144198,good,human,1
/refined_masks/mask_images3/mask_images2/144199-20676-1539931344-61-44391593-284404665743800-2857788156911026176-n.npy,20676,144199,good,human,1
/refined_masks/mask_images3/mask_images2/144199-20677-1539931813-90-44386674-430812460780832-4262132752058417152-n.npy,20677,144199,good,cat,1
/refined_masks/mask_images3/mask_images2/144199-20678-1539932017-77-44265551-840256839515452-5212201976317607936-n.npy,20678,144199,good,dog,1
